ticker,et,model,called,p_tight,p_normal,p_expanded,p_explosive,actual,next_bar_move_atr
QQQ,12:30,6hp7l,TIGHT,0.962,0.030,0.005,0.002,TIGHT,0.008
QQQ,12:30,c49qf,TIGHT,0.687,0.242,0.057,0.014,TIGHT,0.008
QQQ,12:35,6hp7l,TIGHT,0.978,0.017,0.003,0.002,TIGHT,0.000
QQQ,12:35,c49qf,TIGHT,0.688,0.242,0.057,0.013,TIGHT,0.000
QQQ,12:40,6hp7l,TIGHT,0.969,0.025,0.005,0.002,TIGHT,0.273
QQQ,12:40,c49qf,TIGHT,0.688,0.242,0.057,0.013,TIGHT,0.273
QQQ,12:45,6hp7l,TIGHT,0.942,0.048,0.007,0.002,TIGHT,0.161
QQQ,12:45,c49qf,TIGHT,0.689,0.244,0.057,0.010,TIGHT,0.161
QQQ,12:50,6hp7l,TIGHT,0.925,0.066,0.007,0.003,TIGHT,0.068
QQQ,12:50,c49qf,TIGHT,0.689,0.244,0.057,0.010,TIGHT,0.068
QQQ,12:55,6hp7l,TIGHT,0.862,0.111,0.020,0.007,TIGHT,0.118
QQQ,12:55,c49qf,TIGHT,0.690,0.243,0.057,0.010,TIGHT,0.118
QQQ,13:00,6hp7l,TIGHT,0.914,0.075,0.008,0.003,TIGHT,0.000
QQQ,13:00,c49qf,TIGHT,0.689,0.244,0.057,0.010,TIGHT,0.000
QQQ,13:05,6hp7l,TIGHT,0.847,0.120,0.026,0.008,TIGHT,0.236
QQQ,13:05,c49qf,TIGHT,0.689,0.243,0.057,0.010,TIGHT,0.236
QQQ,13:10,6hp7l,TIGHT,0.990,0.005,0.003,0.002,TIGHT,0.007
QQQ,13:10,c49qf,TIGHT,0.704,0.247,0.040,0.010,TIGHT,0.007
QQQ,13:15,6hp7l,TIGHT,0.995,0.003,0.000,0.001,TIGHT,0.008
QQQ,13:15,c49qf,TIGHT,0.704,0.247,0.040,0.010,TIGHT,0.008
QQQ,13:20,6hp7l,TIGHT,0.998,0.002,0.000,0.000,TIGHT,0.053
QQQ,13:20,c49qf,TIGHT,0.717,0.252,0.021,0.010,TIGHT,0.053
QQQ,13:25,6hp7l,TIGHT,0.997,0.003,0.001,0.000,TIGHT,0.010
QQQ,13:25,c49qf,TIGHT,0.717,0.252,0.021,0.010,TIGHT,0.010
QQQ,13:30,6hp7l,TIGHT,0.997,0.002,0.000,0.000,TIGHT,0.001
QQQ,13:30,c49qf,TIGHT,0.717,0.252,0.021,0.010,TIGHT,0.001
QQQ,13:35,6hp7l,TIGHT,0.998,0.001,0.000,0.000,TIGHT,0.001
QQQ,13:35,c49qf,TIGHT,0.717,0.252,0.021,0.010,TIGHT,0.001
QQQ,13:40,6hp7l,TIGHT,0.998,0.001,0.000,0.000,TIGHT,0.049
QQQ,13:40,c49qf,TIGHT,0.706,0.249,0.035,0.010,TIGHT,0.049
QQQ,13:45,6hp7l,TIGHT,0.996,0.003,0.001,0.000,TIGHT,0.213
QQQ,13:45,c49qf,TIGHT,0.693,0.244,0.054,0.010,TIGHT,0.213
QQQ,13:50,6hp7l,TIGHT,0.988,0.005,0.002,0.004,TIGHT,0.003
QQQ,13:50,c49qf,TIGHT,0.671,0.244,0.058,0.027,TIGHT,0.003
QQQ,13:55,6hp7l,TIGHT,0.996,0.003,0.000,0.001,TIGHT,0.015
QQQ,13:55,c49qf,TIGHT,0.693,0.244,0.054,0.010,TIGHT,0.015
QQQ,14:00,6hp7l,TIGHT,0.987,0.009,0.002,0.002,TIGHT,0.117
QQQ,14:00,c49qf,TIGHT,0.704,0.247,0.040,0.010,TIGHT,0.117
QQQ,14:05,6hp7l,TIGHT,0.990,0.007,0.002,0.001,TIGHT,0.013
QQQ,14:05,c49qf,TIGHT,0.690,0.243,0.057,0.010,TIGHT,0.013
QQQ,14:10,6hp7l,TIGHT,0.997,0.002,0.000,0.000,TIGHT,0.010
QQQ,14:10,c49qf,TIGHT,0.704,0.247,0.040,0.010,TIGHT,0.010
QQQ,14:15,6hp7l,TIGHT,0.994,0.004,0.001,0.000,TIGHT,0.025
QQQ,14:15,c49qf,TIGHT,0.704,0.247,0.040,0.010,TIGHT,0.025
QQQ,14:20,6hp7l,TIGHT,0.998,0.001,0.000,0.000,TIGHT,0.008
QQQ,14:20,c49qf,TIGHT,0.693,0.244,0.054,0.010,TIGHT,0.008
QQQ,14:25,6hp7l,TIGHT,0.996,0.003,0.001,0.001,TIGHT,0.033
QQQ,14:25,c49qf,TIGHT,0.704,0.247,0.040,0.010,TIGHT,0.033
QQQ,14:30,6hp7l,TIGHT,0.998,0.002,0.000,0.000,TIGHT,0.025
QQQ,14:30,c49qf,TIGHT,0.703,0.247,0.040,0.010,TIGHT,0.025
QQQ,14:35,6hp7l,TIGHT,0.998,0.001,0.001,0.000,TIGHT,0.018
QQQ,14:35,c49qf,TIGHT,0.704,0.247,0.040,0.010,TIGHT,0.018
QQQ,14:40,6hp7l,TIGHT,0.997,0.002,0.001,0.000,TIGHT,0.116
QQQ,14:40,c49qf,TIGHT,0.689,0.243,0.057,0.011,TIGHT,0.116
QQQ,14:45,6hp7l,TIGHT,0.995,0.004,0.001,0.001,TIGHT,0.005
QQQ,14:45,c49qf,TIGHT,0.690,0.243,0.057,0.010,TIGHT,0.005
QQQ,14:50,6hp7l,TIGHT,0.997,0.003,0.001,0.000,TIGHT,0.106
QQQ,14:50,c49qf,TIGHT,0.690,0.243,0.057,0.010,TIGHT,0.106
QQQ,14:55,6hp7l,TIGHT,0.996,0.003,0.001,0.000,TIGHT,0.026
QQQ,14:55,c49qf,TIGHT,0.693,0.244,0.054,0.010,TIGHT,0.026
QQQ,15:00,6hp7l,TIGHT,0.996,0.003,0.001,0.000,TIGHT,0.006
QQQ,15:00,c49qf,TIGHT,0.690,0.243,0.057,0.010,TIGHT,0.006
QQQ,15:05,6hp7l,TIGHT,0.997,0.002,0.000,0.000,TIGHT,0.020
QQQ,15:05,c49qf,TIGHT,0.693,0.244,0.054,0.010,TIGHT,0.020
QQQ,15:10,6hp7l,TIGHT,0.991,0.007,0.002,0.001,TIGHT,0.087
