ticker,strat_combo,dealer_regime,n,hit_pct,hit_ci_lo,hit_ci_hi,mean_bps,std_bps
SPY,22_bear_reversal,GEX_LOW_VEX_LOW,288,50.0,44.79,55.56,1.7,97.76
SPY,22_bear_reversal,GEX_LOW_VEX_MID,254,52.76,46.46,58.47,-2.17,139.11
SPY,22_bear_reversal,GEX_MID_VEX_HIGH,208,59.13,52.88,65.87,3.97,116.74
SPY,22_bear_reversal,GEX_MID_VEX_LOW,178,43.82,36.52,50.56,-10.35,70.57
SPY,22_bear_reversal,GEX_MID_VEX_MID,330,56.67,51.21,62.12,9.84,103.07
SPY,22_bull_continuation,GEX_HIGH_VEX_HIGH,405,56.54,51.6,61.48,4.47,32.44
SPY,22_bull_continuation,GEX_HIGH_VEX_LOW,470,53.62,49.25,57.98,2.64,50.58
SPY,22_bull_continuation,GEX_HIGH_VEX_MID,363,50.14,44.9,55.1,-3.3,61.27
SPY,22_bull_continuation,GEX_LOW_VEX_HIGH,258,50.78,44.57,57.18,-1.85,82.13
SPY,22_bull_continuation,GEX_LOW_VEX_LOW,459,56.64,52.07,61.33,2.52,93.86
SPY,22_bull_continuation,GEX_LOW_VEX_MID,399,56.89,51.5,61.79,3.12,119.36
SPY,22_bull_continuation,GEX_MID_VEX_HIGH,305,58.03,52.29,63.12,8.97,76.38
SPY,22_bull_continuation,GEX_MID_VEX_LOW,285,54.39,48.42,60.0,3.5,66.45
SPY,22_bull_continuation,GEX_MID_VEX_MID,494,57.69,53.44,61.94,8.16,102.29
SPY,22_bull_reversal,GEX_HIGH_VEX_HIGH,232,52.16,45.46,58.19,1.66,40.48
SPY,22_bull_reversal,GEX_HIGH_VEX_LOW,264,55.68,50.0,62.5,2.85,50.85
SPY,22_bull_reversal,GEX_HIGH_VEX_MID,271,56.83,50.55,62.36,-0.44,54.86
SPY,22_bull_reversal,GEX_LOW_VEX_HIGH,159,50.31,41.51,58.49,-1.77,116.74
SPY,22_bull_reversal,GEX_LOW_VEX_LOW,330,52.73,47.27,57.88,0.44,95.07
SPY,22_bull_reversal,GEX_LOW_VEX_MID,267,53.93,47.74,59.55,5.39,137.49
SPY,22_bull_reversal,GEX_MID_VEX_HIGH,223,56.5,49.78,63.23,3.07,84.95
SPY,22_bull_reversal,GEX_MID_VEX_LOW,177,48.59,41.51,55.93,-9.2,73.73
SPY,22_bull_reversal,GEX_MID_VEX_MID,310,54.52,48.86,60.0,7.08,109.78
