Time,Open,High,Low,Last,Change,%Chg,Volume,ATR14_W,RSI14_W,EMA9,EMA20,EMA50,VWAP,RVOL20,RVOL_MOD,RVOL_MOD_EXCL,OBV,StochRSI_K,StochRSI_D
2025-08-07 19:02:00,220.76,220.76,220.76,220.76,0.01,0.00%,3400.0,0.03256190430454953,56.39428133268384,220.75649706074313,220.73331661133486,220.63554248315285,219.89504507063583,3.9803324748302504,3.356668461676539,4.391630069749419,93300.0,39.54971530223256,42.25708269891981
2025-08-07 19:03:00,220.76,220.76,220.76,220.76,0.0,0.00%,100.0,0.030236053997081704,56.39428133268384,220.7571976485945,220.7358578864458,220.64042317008804,219.89504796222516,0.13437248051599032,0.1514998485001515,0.14284256708499132,93300.0,38.18013547759628,40.898100291811964
2025-08-07 19:05:00,220.72,220.72,220.72,220.72,-0.04,-0.02%,156.0,0.030933478711575303,50.51775020999073,220.74975811887563,220.73434761154624,220.64354383008458,219.89505226446053,0.21362547072920232,0.31556728232189973,0.3060460139111824,93144.0,25.453423651730855,35.74987474511826
2025-08-07 19:07:00,220.76,220.76,220.76,220.76,0.04,+0.02%,1000.0,0.031581087375033644,55.510379896191296,220.75180649510054,220.73679069616088,220.6481107387087,219.89508117899595,1.296092281770462,1.6480853126514785,1.7176596886741815,94144.0,27.416783456262962,32.97217764883316
2025-08-07 19:08:00,220.74,220.74,220.74,220.74,-0.02,-0.01%,160.0,0.030753866848244226,52.6499421304974,220.74944519608044,220.73709634414556,220.65171423915152,219.89508569816925,0.21065104338094925,0.18133736305251227,0.17300597888309374,93984.0,22.739790409143666,29.561381902269996
2025-08-07 19:09:00,220.8,220.8,220.78,220.78,0.04,+0.02%,344.0,0.03284287635908408,57.38019581673154,220.75555615686437,220.7411824066079,220.65674505330244,219.8950959508697,0.45064518241959783,0.23504148365056124,0.22638281070053634,94328.0,29.520567851043996,29.547777218527997
2025-08-07 19:15:00,220.79,220.79,220.79,220.79,0.01,0.00%,125.0,0.03121124233343457,58.49647692434017,220.76244492549154,220.74583170121667,220.66197073748666,219.89509969028504,0.16456029489204843,0.11294046782451561,0.10733949588321463,94453.0,36.37707355890419,31.824209331986726
2025-08-07 19:16:00,220.837,220.837,220.837,220.837,0.047,+0.02%,400.0,0.03233901073818903,63.354556734205715,220.77735594039325,220.7545143963389,220.66883463013423,219.89511228465207,0.5396290050590219,0.32459783283211613,0.3114506788651516,94853.0,51.11434570919376,38.254254791055736
2025-08-07 19:18:00,220.83,220.83,220.83,220.83,-0.007,0.00%,100.0,0.030529081399745285,62.187036521258165,220.7878847523146,220.76170350144946,220.6751548407172,219.89511540979163,0.15180265654648956,0.108364724701997,0.10373982053011048,94753.0,58.49598080185441,45.00149679465529
2025-08-07 19:19:00,220.78,220.78,220.78,220.78,-0.05,-0.02%,123.0,0.03191986129976429,54.46610784202797,220.7863078018517,220.76344602512094,220.67926641559103,219.89511904810345,0.19221753398968588,0.14158726098356464,0.13478148768853937,94630.0,47.25985733522078,45.754283641510455
